
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2026-03-20


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 5.7
Magnitude Max:, 7.5
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, 0.0
Rjb Max (km):, 15.0
Vs30 Min (m/sec):, 0.0
Vs30 Max (m/sec):, 225.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 2
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, SS+Reverse


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
0.14,0.94127304,1.36412379,0.64949747,0.51228228,0.61462795,0.54604226,0.61367027,1.10478418,0.89630725,1.40994032,1.00162506,0.70421641,1.67263379,0.83966166,0.63162409,0.6290396,0.99751054,1.19437039,1.66711701,0.95057871,0.95688302
0.15,0.96942988,1.44431405,0.65068556,0.55148985,0.57857968,0.59277258,0.62775621,1.09474604,0.87790189,1.42643434,0.9656629,0.80851882,1.93501965,0.77195403,0.6409306,0.65373984,0.92012478,1.23479587,1.73566512,1.000793,1.03285273
0.16,0.96922233,1.48359904,0.63318451,0.60601608,0.65745906,0.61763856,0.61380927,1.03138993,0.94802389,1.51942664,0.85232104,0.78182479,1.81157211,0.65224151,0.59304787,0.65159786,0.83681711,1.28071939,1.99926476,0.98205609,1.010776
0.17,1.00676228,1.49279826,0.67897339,0.65351698,0.7110894,0.62967567,0.67088896,1.19410896,1.16412717,1.54023699,0.8348968,0.75750729,1.67856299,0.76958355,0.65320571,0.65918201,0.782276,1.38856726,1.99550745,1.02615044,1.01263744
0.18,1.0410325,1.509921,0.71775189,0.67051417,0.72508162,0.66510553,0.67900851,1.27998109,1.21595866,1.49481795,0.81640338,0.81494825,1.52257304,0.8386293,0.71041658,0.72790343,0.80328619,1.53720332,2.03573673,1.01939725,1.18161993
0.19,1.04960455,1.46315745,0.75293995,0.70081705,0.69848329,0.73789067,0.71273911,1.14404996,1.27541522,1.45951722,0.84297807,0.87513046,1.37749292,0.92879712,0.65988302,0.77924199,1.01595413,1.48311438,1.96265429,0.95816985,1.28055306
0.2,1.06034203,1.45264945,0.77398248,0.6938799,0.67033179,0.77256845,0.67417617,1.10168138,1.29118971,1.37631332,0.93842881,0.91533466,1.37105338,1.01142565,0.62141746,0.78308077,1.19218889,1.3189198,1.90121116,1.02463445,1.42832086
0.22,1.070803,1.46741484,0.78138713,0.67679911,0.61931398,0.65063946,0.72275417,1.0889983,1.34785882,1.39694713,1.00271055,0.89929703,1.3785035,1.1834109,0.57487869,0.77470941,1.20400867,1.46157206,1.7412439,1.15245278,1.39835556
0.24,1.13278053,1.55675431,0.82427376,0.78838011,0.65365901,0.66020271,0.68933394,1.0635988,1.34302157,1.33752423,1.37495801,0.96038191,1.57267767,0.99592166,0.72621422,0.91833661,1.23564379,1.884106,1.51367183,1.05267133,1.61974611
0.25,1.11866094,1.50303703,0.83258249,0.81564882,0.71089924,0.66042456,0.78695394,1.06358216,1.33311727,1.32804517,1.38628521,0.92876018,1.6859056,0.8569817,0.74380692,1.02506949,1.251714,1.81663225,1.39322282,1.0007158,1.34813183
0.26,1.10519222,1.43405326,0.8517465,0.85913797,0.79353133,0.61409401,0.81957481,1.03706898,1.31002427,1.34430997,1.2980652,0.99095957,1.59886685,0.9274874,0.70619337,1.11801642,1.2734052,1.61978116,1.44969305,1.00356699,1.12968349
0.28,1.10732198,1.40247483,0.87428447,1.029631,0.90480343,0.62200499,0.6914538,0.85235007,1.18512461,1.41140857,1.09584428,1.05381561,1.48820673,1.14422554,0.65437185,1.30699892,1.38591519,1.28334657,1.39785409,1.16871648,1.25572391
0.29,1.10482355,1.40548524,0.86847947,1.05675659,0.89189661,0.61173117,0.74250686,0.80466272,1.1273112,1.44197414,1.13973849,0.98881994,1.43987374,1.17106855,0.62434411,1.32847403,1.43425088,1.32823916,1.32222646,1.25974834,1.17320097
0.3,1.10190402,1.42526817,0.85190457,1.05351305,0.83749571,0.56782021,0.75686333,0.76306879,1.09074857,1.46482377,1.24800468,0.96427957,1.31360249,1.09786625,0.66670634,1.31123409,1.48784476,1.50948593,1.33634374,1.28869075,1.07588033
0.32,1.13419238,1.53024848,0.84064279,1.04146239,0.72620736,0.57139485,0.78598569,0.77896486,1.16615898,1.53445026,1.19011394,1.03407241,1.22276747,1.07399611,0.69404722,1.25022567,1.5533938,1.90863132,1.45471289,1.37841986,1.05045778
0.34,1.16744778,1.6379089,0.83211851,0.9704642,0.6541563,0.61013221,0.77599978,0.85866214,1.21995727,1.80854742,1.07281865,0.99142733,1.20549431,1.0923947,0.67240177,1.40066559,1.52569726,2.13245637,1.42044355,1.42695092,1.17539029
0.35,1.16205837,1.65759709,0.81466096,0.95655064,0.59849036,0.64544175,0.71350837,0.83944927,1.22825276,1.82605045,1.08078707,0.9515455,1.2661414,1.03362765,0.66863321,1.43621613,1.50132545,2.19654572,1.44721184,1.3133302,1.21394282
0.36,1.14281883,1.65656469,0.78839956,0.96139913,0.53006933,0.6441124,0.63658693,0.82152791,1.22263667,1.75497437,1.07470733,0.92659114,1.31607766,0.9427613,0.68170419,1.43226773,1.45682819,2.24825948,1.43135975,1.23988775,1.24898768
